trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	block_ID	response_hand	phase_length	last_frame	reaction_time	key_duration	offset_delay	onset_delay_timing	offset_delay_timing	button_response	onset_abs	duration
11	24.69006689998787	stim	201		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.310096199973486	0.06671699997968972
11	24.75678389996756	stim	202		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.376813199953176	0.06683480006176978
11	24.82361870002933	stim	203		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.443648000014946	0.08295889990404248
11	24.90657759993337	stim	204		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.52660689991899	0.06673489999957383
11	24.973312499932945	stim	205		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.59334179991856	0.06703919998835772
11	25.040351699921302	stim	206		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.66038099990692	0.0672371000982821
11	25.107588800019585	stim	207		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.7276181000052	0.06683999998494983
11	25.174428800004534	stim	208		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.79445809999015	0.0666191999334842
11	25.24104799993802	stim	209		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.861077299923636	0.06676160008646548
11	25.307809600024484	stim	210		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.9278389000101	0.06665479997172952
